Munic-BR;Populaçăo;1.1_%R.Líquida_Total;2.1_D.Total_Saúde/Hab;2.2_%D.Pessoal/D.Total;2.3_%D.com_Medicamentos;2.4_%D.Serv.Terc/D.Total;2.5_%D.Invest/D.Total;R.Transf.SUS;D.R.Próprios;D.Total_Saúde;cod_municipio
110001 Alta Floresta D'Oeste;23167;5.05;701.57;81.16;2.35;3.77;0.0;6653960.62;9307117.33;16253356.53;110001
110037 Alto Alegre dos Parecis;13227;3.48;617.61;72.21;2.21;3.66;4.36;3852056.02;5138711.26;8169138.72;110037
110040 Alto Paraíso;20999;4.56;499.16;54.39;2.87;4.25;12.75;3582815.28;5313518.74;10481888.42;110040
110034 Alvorada D'Oeste;14722;4.08;740.89;60.96;1.52;8.3;14.91;3336414.79;5924003.9;10907420.63;110034
110002 Ariquemes;106168;14.48;665.87;66.21;3.33;4.18;5.01;40264612.3;30529987.69;70694168.92;110002
110045 Buritis;38937;6.69;411.61;62.97;1.82;7.76;10.61;10183277.83;8078180.27;16026707.81;110045
110003 Cabixi;5438;4.15;1261.79;60.42;2.45;3.49;9.73;3621026.16;4363612.94;6861599.87;110003
110060 Cacaulândia;6190;3.71;854.14;59.64;1.99;5.92;3.32;1823036.49;3532597.48;5287108.29;110060
110004 Cacoal;84813;17.31;612.19;53.34;1.3;16.56;16.58;27216898.71;22221916.59;51921725.77;110004
110070 Campo Novo de Rondônia;14009;3.4;603.49;79.92;3.06;5.05;2.03;4864474.65;5289761.59;8454240.93;110070
110080 Candeias do Jamari;25983;8.35;534.52;64.63;0.0;7.52;9.49;4939550.36;8526778.92;13888402.74;110080
110090 Castanheiras;3119;2.52;2150.96;52.35;0.74;6.09;30.35;1502085.17;3426909.99;6708831.82;110090
110005 Cerejeiras;16444;9.4;795.86;48.93;4.95;4.46;2.61;7263729.1;8438886.44;13087154.77;110005
110092 Chupinguaia;10886;4.54;933.76;61.7;2.04;5.21;6.42;2438689.29;7419615.08;10164924.49;110092
110006 Colorado do Oeste;16227;6.95;851.18;61.25;7.09;3.3;10.78;5190566.12;8218933.05;13812132.78;110006
110007 Corumbiara;7567;5.13;1185.13;62.7;2.94;4.13;15.14;1985380.42;5469218.49;8967898.44;110007
110008 Costa Marques;17855;4.4;547.97;48.33;0.7;16.62;15.77;2803958.87;4584649.51;9784033.47;110008
110094 Cujubim;24226;3.72;366.19;47.88;1.33;10.99;18.64;7137857.52;4350524.34;8871243.57;110094
110009 Espigăo D'Oeste;32047;6.97;532.08;67.9;5.72;7.44;2.41;7312442.67;10007669.59;17051684.76;110009
110100 Governador Jorge Teixeira;8095;4.05;790.69;63.38;2.4;12.81;2.11;3424051.42;3773147.63;6400621.05;110100
110010 Guajará-Mirim;45783;6.63;630.28;67.93;0.2;11.93;2.96;10682198.66;17746787.05;28856004.27;110010
110110 Itapuă do Oeste;10272;7.96;695.86;52.78;0.59;9.39;10.6;2126396.81;4297943.81;7147849.12;110110
110011 Jaru;51933;10.32;665.86;56.45;3.24;6.5;10.27;19105415.44;14360831.04;34580185.0;110011
110012 Ji-Paraná;127907;15.0;584.37;65.48;4.09;16.09;2.93;44169830.98;29879977.11;74744514.91;110012
110013 Machadinho D'Oeste;39097;6.35;447.29;68.33;3.14;6.85;1.11;11482732.82;8120503.02;17487524.65;110013
110120 Ministro Andreazza;9762;3.04;527.28;67.21;3.26;10.25;4.44;1805536.3;2874476.47;5147330.48;110120
110130 Mirante da Serra;11080;4.32;560.75;74.59;1.12;7.04;2.21;3067440.99;3348749.42;6213081.98;110130
110140 Monte Negro;15695;4.32;710.19;58.17;1.21;12.13;13.06;5329114.51;6203725.59;11146498.86;110140
110014 Nova Brasilândia D'Oeste;20459;5.43;545.21;73.61;5.1;3.0;0.86;4913734.97;6591295.84;11154480.4;110014
110033 Nova Mamoré;29757;4.5;578.2;57.61;1.92;5.43;17.69;4990096.99;8932065.96;17205449.27;110033
110143 Nova Uniăo;7047;4.99;628.96;66.21;0.36;7.35;7.76;1266205.75;3016194.38;4432270.95;110143
110050 Novo Horizonte do Oeste;8751;4.25;665.94;73.61;2.06;5.21;4.58;2607300.55;3566736.84;5827662.11;110050
110015 Ouro Preto do Oeste;36340;9.22;646.51;74.77;1.39;5.58;2.48;12584062.44;11830790.49;23494327.44;110015
110145 Parecis;5947;2.9;806.1;64.47;3.11;8.62;3.9;1455170.82;3202399.84;4793888.78;110145
110018 Pimenta Bueno;36434;16.27;783.42;62.53;0.6;5.86;11.14;9723570.59;17573509.34;28543193.88;110018
110146 Pimenteiras do Oeste;2191;4.41;2710.7;51.91;3.62;3.8;5.17;1193474.23;4177973.06;5939139.71;110146
110020 Porto Velho;519531;14.68;560.57;70.51;0.05;10.37;3.2;97403027.21;181695656.69;291235520.57;110020
110025 Presidente Médici;19409;7.55;763.44;64.63;5.63;5.67;10.13;6213723.16;8813291.47;14817597.32;110025
110147 Primavera de Rondônia;2939;2.73;1146.7;62.46;1.24;4.41;10.68;1004830.53;2002895.48;3370148.4;110147
110026 Rio Crespo;3723;5.98;1310.39;65.99;5.45;3.56;5.56;1253210.54;3007101.96;4878593.76;110026
110028 Rolim de Moura;54702;12.99;732.5;63.89;0.52;7.4;10.47;16701558.64;22476612.47;40069322.66;110028
110029 Santa Luzia D'Oeste;6781;7.29;903.53;69.89;1.33;13.27;2.0;2530748.04;3345210.23;6126850.94;110029
110148 Săo Felipe D'Oeste;5280;3.07;837.69;63.85;0.54;5.99;6.73;2270748.84;2519755.77;4422980.35;110148
110149 Săo Francisco do Guaporé;19842;5.09;626.14;54.7;2.77;15.0;4.11;4102237.32;6447843.78;12423814.09;110149
110032 Săo Miguel do Guaporé;22931;2.97;663.26;63.55;8.15;6.13;7.34;5651418.45;8933120.08;15209105.91;110032
110150 Seringueiras;11860;3.56;769.53;66.76;3.95;10.21;6.47;4264043.45;5334422.42;9126658.4;110150
110155 Teixeirópolis;4384;4.81;875.82;71.95;2.64;8.91;4.29;1255177.54;2863900.75;3839588.12;110155
110160 Theobroma;10494;2.89;750.72;66.86;2.18;7.97;0.13;3913342.88;3545829.01;7878056.09;110160
110170 Urupá;11665;6.68;736.81;57.74;3.38;5.45;10.34;3570366.51;4384344.87;8594926.32;110170
