Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2013
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";25728;5,12;480,72;71,26;5,01;2,26;7,10;5647169,84;6545823,51;12368035,20
"110037 Alto Alegre dos Parecis";13827;2,47;437,07;67,00;1,93;3,47;13,30;3320481,97;2687816,65;6043358,83
"110040 Alto Paraíso";19459;4,82;358,84;66,19;0,00;3,64;12,65;2779650,03;3863278,57;6982739,37
"110034 Alvorada D'Oeste";17399;3,97;362,55;71,91;0,00;6,54;2,91;3025553,40;3530480,78;6307983,25
"110002 Ariquemes";101269;14,34;413,77;75,05;3,56;7,21;4,28;18150353,55;25502303,72;41901905,49
"110045 Buritis";36555;5,71;239,47;74,50;0,00;13,51;0,86;5212768,64;5246327,95;8753857,70
"110003 Cabixi";6495;3,84;723,35;62,52;3,89;4,93;19,72;1690524,55;2349122,80;4698167,44
"110060 Cacaulândia";6268;5,22;2279,71;18,19;0,46;0,42;78,11;1819570,78;3195351,91;14289207,81
"110004 Cacoal";85863;15,69;382,28;72,14;2,86;12,45;4,08;16439814,46;17045106,68;32823679,41
"110070 Campo Novo de Rondônia";13939;2,78;375,29;68,42;0,98;2,60;9,84;2659246,52;2590801,50;5231134,05
"110080 Candeias do Jamari";22973;7,29;333,32;66,48;3,45;10,86;3,80;3250348,95;4519596,67;7657425,29
"110090 Castanheiras";3689;5,92;688,63;77,37;2,34;2,28;1,80;604341,05;2099873,29;2540369,37
"110005 Cerejeiras";18041;7,98;975,17;28,27;2,72;1,53;51,10;3559413,31;5265507,14;17593124,64
"110092 Chupinguaia";9636;10,52;612,11;79,03;0,03;3,64;4,47;1260962,66;4882096,06;5898273,96
"110006 Colorado do Oeste";19190;8,34;397,08;72,99;6,47;3,78;2,82;3328720,38;4608478,12;7619972,82
"110007 Corumbiara";9036;5,10;570,82;65,37;0,00;5,21;17,75;1332350,80;3495990,65;5157971,60
"110008 Costa Marques";15853;2,94;348,28;65,08;0,82;4,02;23,15;4313391,98;3613453,45;5521340,16
"110094 Cujubim";19410;3,20;265,54;59,88;0,00;7,71;14,57;1788720,05;3270652,95;5154143,08
"110009 Espigão D'Oeste";31699;6,54;369,22;72,80;3,81;6,69;3,64;4800443,73;7930319,71;11703859,71
"110100 Governador Jorge Teixeira";10534;3,36;513,26;68,56;2,19;2,93;10,09;2931095,69;2676443,21;5406708,56
"110010 Guajará-Mirim";45761;7,71;540,47;53,91;1,77;12,29;21,75;8219352,60;10676324,71;24732331,64
"110110 Itapuã do Oeste";9661;6,13;424,57;53,01;1,13;8,83;1,24;1270105,35;2775338,19;4101801,89
"110011 Jaru";55597;8,72;324,69;78,17;2,74;4,14;1,48;9372662,05;10416259,58;18051811,71
"110012 Ji-Paraná";128026;15,55;353,44;67,94;5,69;16,00;2,20;22528374,06;24002587,57;45250082,50
"110013 Machadinho D'Oeste";35633;5,49;310,67;62,58;5,17;7,81;1,39;6064202,04;4235268,58;11070192,62
"110120 Ministro Andreazza";10899;3,33;385,82;71,53;0,00;6,75;0,46;1575647,38;2369350,34;4205089,41
"110130 Mirante da Serra";12469;2,19;317,22;83,83;0,00;3,94;0,00;2195546,42;1964697,33;3955412,98
"110140 Monte Negro";15541;6,21;444,09;62,52;2,30;9,74;12,36;4014646,80;3243569,89;6901669,94
"110014 Nova Brasilândia D'Oeste";21427;5,26;581,20;48,86;2,16;2,54;36,05;7664230,98;4416454,61;12453426,42
"110033 Nova Mamoré";26227;4,25;343,28;62,01;0,00;4,71;11,32;3552832,24;5424161,94;9003149,08
